seed,placebo_ic
0,-0.0009737016253941956
1,-0.0010756810123546887
2,0.0005465485143364579
3,-0.00287314438518103
4,-0.0016536043457621562
5,-0.001083389235416634
6,-0.002520771849405749
7,-0.0037239579341859833
8,-0.001022628816417255
9,-0.0003798562546046929
10,-0.00026990961654257956
11,0.00036878595361252667
12,0.002219161102996492
13,0.001451910937522803
14,-0.002220924207772147
15,-0.0005934264784688261
16,0.00087904499997498
17,0.004512131383882342
18,-0.00022174057955005096
19,0.00011252366294565429
