trade_time,nav,cash,position_val,num_positions
2025-01-02 09:30:00,1000000.0,1000000.0,0.0,0
2025-01-02 09:45:00,1000000.0,1000000.0,0.0,0
2025-01-02 10:00:00,1000000.0,1000000.0,0.0,0
2025-01-02 10:15:00,1000000.0,1000000.0,0.0,0
2025-01-02 10:30:00,1000000.0,1000000.0,0.0,0
2025-01-02 10:45:00,1000000.0,1000000.0,0.0,0
2025-01-02 11:00:00,1000000.0,1000000.0,0.0,0
2025-01-02 11:15:00,1000000.0,1000000.0,0.0,0
2025-01-02 11:30:00,1000000.0,1000000.0,0.0,0
2025-01-02 13:00:00,1000000.0,1000000.0,0.0,0
2025-01-02 13:15:00,999871.1971049999,941678.9271049999,58192.27,4
2025-01-02 13:30:00,959767.0389655,950972.1489655,8794.89,2
2025-01-02 13:45:00,959703.1722179999,932521.572218,27181.600000000002,4
2025-01-02 14:00:00,958692.399853,936372.339853,22320.059999999998,4
2025-01-02 14:15:00,958665.687185,942874.2071850001,15791.48,3
2025-01-02 14:30:00,955210.807665,924847.827665,30362.98,4
2025-01-02 14:45:00,938518.56239,931222.56239,7296.0,1
2025-01-02 15:00:00,938503.0543729999,924445.9143729999,14057.140000000001,4
2025-01-03 09:30:00,938591.1562574999,938591.1562574999,0.0,0
2025-01-03 09:45:00,938578.8512115,929491.0912115,9087.76,4
2025-01-03 10:00:00,937489.2493775,930516.8693775,6972.380000000001,4
2025-01-03 10:15:00,937505.7406195,931571.7206195,5934.02,3
2025-01-03 10:30:00,937480.1976845,920095.7376845,17384.46,4
2025-01-03 10:45:00,937460.6273115,925706.0973115,11754.53,3
2025-01-03 11:00:00,935096.5049715,926945.5949715,8150.910000000001,3
2025-01-03 11:15:00,930565.9086075001,926667.0086075001,3898.9000000000005,3
2025-01-03 11:30:00,930563.7623825001,928100.0023825001,2463.76,2
2025-01-03 13:00:00,930557.66399,918095.17399,12462.490000000002,3
2025-01-03 13:15:00,930553.6945615,916885.8845614999,13667.81,4
2025-01-03 13:30:00,930402.9987874998,886542.9187874999,43860.079999999994,4
2025-01-03 13:45:00,901540.8255974998,891261.4955974999,10279.33,4
2025-01-03 14:00:00,901459.04406,881673.62406,19785.42,1
2025-01-03 14:15:00,892637.1647189999,873808.0947189999,18829.07,3
2025-01-03 14:30:00,892475.1562569999,877173.8862569999,15301.269999999999,3
2025-01-03 14:45:00,892447.633013,889378.713013,3068.92,2
2025-01-03 15:00:00,892446.203013,889378.713013,3067.49,2
2025-01-06 09:30:00,892461.3570844999,878487.4170845,13973.94,2
2025-01-06 09:45:00,892442.9485594999,878131.9285594999,14311.02,3
2025-01-06 10:00:00,892456.1428719999,880702.2528719999,11753.89,3
2025-01-06 10:15:00,890104.815232,886512.0252319999,3592.79,3
2025-01-06 10:30:00,890074.3872004999,882786.9272004999,7287.460000000001,4
2025-01-06 10:45:00,890073.406912,887820.006912,2253.4,2
2025-01-06 11:00:00,889975.5986619999,875542.128662,14433.470000000001,5
2025-01-06 11:15:00,883499.1000910001,881287.1100910001,2211.99,2
2025-01-06 11:30:00,883493.1807760001,880105.5707760002,3387.61,3
2025-01-06 13:00:00,883492.8248840001,881281.3748840002,2211.45,2
2025-01-06 13:15:00,883481.7954145002,882063.3654145001,1418.4299999999998,1
2025-01-06 13:30:00,883447.9327090002,874553.8827090001,8894.05,4
2025-01-06 13:45:00,883444.9815435001,877901.0315435001,5543.950000000001,3
2025-01-06 14:00:00,883436.8509835001,868624.1009835001,14812.750000000002,5
2025-01-06 14:15:00,883433.9309835001,868624.1009835001,14809.830000000002,5
2025-01-06 14:30:00,883436.5524485001,870858.4524485001,12578.1,4
2025-01-06 14:45:00,882373.2480335,878936.4280335001,3436.82,2
2025-01-06 15:00:00,882367.1538340001,877654.8938340001,4712.26,3
2025-01-07 09:30:00,881185.16857,871422.47857,9762.69,2
2025-01-07 09:45:00,881131.5018185,856370.8418185,24760.66,4
2025-01-07 10:00:00,879869.4988115,862955.6688115001,16913.83,3
2025-01-07 10:15:00,873535.198682,854831.768682,18703.43,3
2025-01-07 10:30:00,868677.4242239998,863454.3042239998,5223.12,2
2025-01-07 10:45:00,868662.5332539999,857056.1932539999,11606.34,4
2025-01-07 11:00:00,866600.347338,858297.6773379999,8302.67,3
2025-01-07 11:15:00,862567.1019879999,853806.3919879999,8760.710000000001,3
2025-01-07 11:30:00,858459.1508189999,851869.3308189999,6589.82,3
2025-01-07 13:00:00,858447.0067399999,847125.5567399999,11321.449999999999,4
2025-01-07 13:15:00,854479.1239484998,831692.3839484998,22786.739999999998,2
2025-01-07 13:30:00,854482.3423184998,826347.1223184998,28135.219999999998,4
2025-01-07 13:45:00,854473.7950934998,845725.6750934998,8748.12,4
2025-01-07 14:00:00,854480.8912199998,841765.4512199998,12715.439999999999,5
2025-01-07 14:15:00,853169.9458099998,844386.8958099998,8783.05,4
2025-01-07 14:30:00,853194.1982249997,840341.0782249997,12853.119999999999,3
2025-01-07 14:45:00,853167.4998244997,838597.8198244997,14569.68,3
2025-01-07 15:00:00,844475.4842324997,834783.3442324997,9692.14,3
2025-01-08 09:30:00,841211.9784879996,823199.1684879996,18012.81,3
2025-01-08 09:45:00,838688.9788609997,791165.6788609996,47523.299999999996,2
2025-01-08 10:00:00,838693.0786259996,724505.0586259996,114188.02,4
2025-01-08 10:15:00,815176.1190759996,741658.0290759996,73518.09,3
2025-01-08 10:30:00,815112.9606009996,729665.9506009996,85447.01000000001,4
2025-01-08 10:45:00,815089.1869059997,741609.2969059997,73479.89,3
2025-01-08 11:00:00,775632.9746899997,767108.4146899997,8524.56,1
2025-01-08 11:15:00,775613.5469974995,772132.7069974996,3480.8399999999997,2
2025-01-08 11:30:00,775609.8810494995,765081.5510494995,10528.33,4
2025-01-08 13:00:00,775594.9214494996,769628.7714494995,5966.15,3
2025-01-08 13:15:00,775580.7193134995,770639.7693134996,4940.95,2
2025-01-08 13:30:00,775581.2304619997,762893.5904619996,12687.64,3
2025-01-08 13:45:00,779393.8622894996,608056.7322894996,171337.13,5
2025-01-08 14:00:00,781188.7632104995,615590.7932104996,165597.97,3
2025-01-08 14:15:00,781681.3777424996,604192.6777424996,177488.69999999998,5
2025-01-08 14:30:00,779464.9722004996,606899.8722004996,172565.1,3
2025-01-08 14:45:00,684169.3598304995,671487.2898304996,12682.07,2
2025-01-08 15:00:00,681975.5976624995,659694.0276624996,22281.57,2
2025-01-09 09:30:00,676087.2188699995,660275.3688699995,15811.85,3
2025-01-09 09:45:00,670582.9201579995,534056.6901579995,136526.22999999998,4
2025-01-09 10:00:00,645358.5344199996,589224.0344199996,56134.5,4
2025-01-09 10:15:00,645346.2800269995,605227.0600269996,40119.22,4
2025-01-09 10:30:00,642803.9132689995,605435.5832689996,37368.33000000001,4
2025-01-09 10:45:00,642905.5143649996,604025.6243649996,38879.89,5
2025-01-09 11:00:00,642869.8123259996,606520.1823259996,36349.63,3
2025-01-09 11:15:00,617743.1648719996,616668.9948719996,1074.17,1
2025-01-09 11:30:00,617735.2849654997,609413.8549654996,8321.43,3
2025-01-09 13:00:00,617725.2323784996,604517.6323784996,13207.599999999999,4
2025-01-09 13:15:00,617711.6427599996,616637.8627599996,1073.78,1
2025-01-09 13:30:00,617701.7768309995,604886.5568309996,12815.22,3
2025-01-09 13:45:00,617612.5823529996,554097.3723529996,63515.21,3
2025-01-09 14:00:00,607573.3753179996,565492.0953179996,42081.28,2
2025-01-09 14:15:00,607729.9997779996,553064.2597779996,54665.74,5
2025-01-09 14:30:00,604473.2024369997,554241.4424369996,50231.76,4
2025-01-09 14:45:00,597792.0539809996,596671.5639809996,1120.49,1
2025-01-09 15:00:00,597792.4606664997,595333.6706664996,2458.79,2
2025-01-10 09:30:00,598261.4667479997,544844.9467479996,53416.52,2
2025-01-10 09:45:00,597546.6031389997,506143.77313899965,91402.83,4
2025-01-10 10:00:00,575060.6100964997,571843.5000964997,3217.1099999999997,2
2025-01-10 10:15:00,573776.0923289997,500515.6223289997,73260.47,3
2025-01-10 10:30:00,573620.3040044997,563954.8640044997,9665.44,3
2025-01-10 10:45:00,573625.3540044997,563954.8640044997,9670.49,3
2025-01-10 11:00:00,574041.9640494998,448376.5340494998,125665.43000000001,5
2025-01-10 11:15:00,574373.0909164997,451966.2209164998,122406.86999999998,3
2025-01-10 11:30:00,573824.2994704999,450906.5894704998,122917.71000000002,4
2025-01-10 13:00:00,516204.0918494998,513943.7118494998,2260.38,2
2025-01-10 13:15:00,516201.0956214998,511764.4756214998,4436.62,2
2025-01-10 13:30:00,517909.5752799998,407609.46527999983,110300.11,4
2025-01-10 13:45:00,517235.24119599984,396918.17119599984,120317.06999999999,5
2025-01-10 14:00:00,521375.21904499986,401344.13904499984,120031.08,3
2025-01-10 14:15:00,518975.92661749985,394439.34661749983,124536.58,5
2025-01-10 14:30:00,520262.98661749985,394439.34661749983,125823.64,5
2025-01-10 14:45:00,513249.40958099987,407803.42958099983,105445.98000000001,1
2025-01-10 15:00:00,466791.80169249984,461442.99169249984,5348.8099999999995,2
2025-01-13 09:30:00,466706.90760499984,460766.84760499984,5940.06,3
