trade_time,ts_code,side,action,gross_price,net_price,shares,gross_pnl,net_pnl,spread_cost,impact_cost,commission_cost
2025-01-02 13:15:00,111000.SH,BUY,BUY_NEXT_OPEN,115.23,115.3509915,330,0.0,0.0,19.012950000000004,19.012950000000004,1.901295
2025-01-02 13:15:00,111020.SH,BUY,BUY_NEXT_OPEN,128.182,128.31659109999998,60,0.0,0.0,3.8454599999999997,3.8454599999999997,0.384546
2025-01-02 13:15:00,113054.SH,BUY,BUY_NEXT_OPEN,109.997,110.11249685,10,0.0,0.0,0.549985,0.549985,0.054998500000000006
2025-01-02 13:15:00,111012.SH,BUY,BUY_NEXT_OPEN,163.473,163.64464665000003,70,0.0,0.0,5.721555,5.721555,0.5721555
2025-01-02 13:30:00,111000.SH,SELL,REBUILT_RANK_EXIT,115.054,114.93319330000001,10,-1.7600000000000193,-4.177981999999929,19.588220000000003,19.588220000000003,1.958822
2025-01-02 13:30:00,111012.SH,SELL,REBUILT_RANK_EXIT,163.049,162.87779855,50,-21.20000000000033,-38.342405000002145,9.79778,9.79778,0.979778
2025-01-02 13:45:00,113054.SH,SELL,REBUILT_RANK_EXIT,109.351,109.23618144999999,10,-6.460000000000008,-8.763154000000213,1.09674,1.09674,0.10967400000000001
2025-01-02 13:45:00,113527.SH,BUY,BUY_NEXT_OPEN,117.188,117.3110474,40,0.0,0.0,2.34376,2.34376,0.23437600000000003
2025-01-02 13:45:00,113059.SH,BUY,BUY_NEXT_OPEN,109.517,109.63199285,80,0.0,0.0,4.38068,4.38068,0.438068
2025-01-02 13:45:00,110086.SH,BUY,BUY_NEXT_OPEN,101.226,101.33228729999999,60,0.0,0.0,3.03678,3.03678,0.303678
2025-01-02 14:00:00,110086.SH,SELL,REBUILT_RANK_EXIT,100.786,100.6801747,50,-21.999999999999886,-32.60563000000002,5.55643,5.55643,0.555643
2025-01-02 14:00:00,110093.SH,BUY,BUY_NEXT_OPEN,118.2,118.32411,10,0.0,0.0,0.591,0.591,0.0591
