year_month,ic_close
2025-01,-0.0472926980266921
2025-02,-0.010046627709772033
2025-03,-0.06553002434580264
2025-04,-0.0521023957921443
2025-05,-0.07476973457148069
2025-06,-0.058940333509945396
2025-07,-0.07240821287081363
2025-08,-0.034101032563086685
2025-09,-0.07412204660185741
2025-10,-0.011429466976312745
2025-11,-0.029052756617548397
2025-12,-0.08394833285974238
2026-01,-0.03658168842249623
2026-02,-0.01950865465784569
2026-03,-0.00961552959441894
2026-04,-0.029592595450520995
2026-05,0.007407630064670004
2026-06,0.02809207823675305
2026-07,-0.016120709501801264
