seed,placebo_ic
0,-0.0007207363565964836
1,0.0014193664718769848
2,-0.0013158437807211769
3,-0.001714241804602202
4,0.001200223004685217
5,-0.0010240516928310614
6,0.0007977535092007002
7,0.0024264607872592344
8,-0.0011390750519231242
9,0.005085127222056741
10,0.0028719603469122526
11,-0.006106540713096387
12,-0.002812788576927886
13,-0.0022256232644124905
14,-0.0005936708279285847
15,0.0024118896448066442
16,-0.0033955754537228007
17,-0.000664355726869778
18,-0.004923574235114109
19,-0.002478041594072534
20,-0.0007808549469704135
21,0.0020684389803146633
22,0.0029316916530514334
23,-0.002739163035401947
24,-0.0004658853168417137
25,0.003936975604719662
26,0.003102829091255115
27,-0.001862338803888498
28,-0.002196774161861073
29,-0.0025910131282966768
30,-0.0006965696064789275
31,-0.001427010398126724
32,0.0024132916005422224
33,-0.0002899324381630796
34,0.0018256110779492217
35,0.0014334335791634121
36,0.00047693040573268045
37,0.004406965716890695
38,0.003768331048015725
39,-0.0018954289299576922
40,0.0013405262599283036
41,-0.0018245218924984727
42,-4.751383725546367e-06
43,-0.002460071887771859
44,0.0014607722503693814
45,-0.0016663922088690998
46,-0.0006561829384390341
47,-0.0002792310986446607
48,0.001748837511739159
49,0.0002937914915704307
50,-0.0004270829403831994
51,9.95866441644835e-05
52,0.001367386600079405
53,-0.004419518364714372
54,-0.00433889982173747
55,0.0009906427851311417
56,-0.0012969637259213967
57,-0.00029302204977049175
58,0.0033809261195545635
59,-0.0005081824410103719
60,0.0006748450798323718
61,-0.004672809359841723
62,-0.003458972229729049
63,0.0006735706616586699
64,0.0014212669661064783
65,-0.004794397903477939
66,-0.0022637037570519074
67,0.0026127079501754072
68,0.005629458537838884
69,-0.006557910499894382
70,0.0027959733691341024
71,0.0010595066535037637
72,-4.0616575649022945e-06
73,0.0005761229163228588
74,0.001062462345837452
75,0.0009697416353069467
76,0.00347065911938578
77,-0.0031256655505641283
78,0.0003018376390729905
79,0.0011984444214241117
80,-0.0017260476538881043
81,-0.0006590151827647258
82,8.509591423648023e-05
83,0.0011404797159943571
84,-0.0005107601492484142
85,-0.001986688936631072
86,0.000550794672514354
87,0.00042606052725716086
88,-0.0021375823170485236
89,0.0028170751527551254
90,-0.001471065031749622
91,0.0001439543699404609
92,0.003456861350747826
93,0.0007870786121625234
94,-0.0006924820144000298
95,-0.00046862763318323506
96,-0.0019062851632358384
97,-0.0007197525147717366
98,-0.0011696986181949217
99,-0.0044503767814790375
