trade_date,Monthly_DoubleLow_Top10,Monthly_DoubleLow_Top5,511380_CB_ETF_Benchmark
2024-01-02,1.0,1.0,1.0
2024-01-03,1.0,1.0,0.9972577696526509
2024-01-04,1.0,1.0,0.993692870201097
2024-01-05,1.0,1.0,0.9911334552102377
2024-01-08,1.0,1.0,0.9878427787934188
2024-01-09,1.0,1.0,0.9891224862888482
2024-01-10,1.0,1.0,0.9880255941499085
2024-01-11,1.0,1.0,0.9921389396709324
2024-01-12,1.0,1.0,0.9929616087751371
2024-01-15,1.0,1.0,0.9931444241316271
2024-01-16,1.0,1.0,0.9912248628884827
2024-01-17,1.0,1.0,0.9836380255941499
2024-01-18,1.0,1.0,0.9815356489945155
2024-01-19,1.0,1.0,0.9785191956124315
2024-01-22,1.0,1.0,0.96709323583181
2024-01-23,1.0,1.0,0.9705667276051189
2024-01-24,1.0,1.0,0.9708409506398539
2024-01-25,1.0,1.0,0.9803473491773309
2024-01-26,1.0,1.0,0.9816270566727606
2024-01-29,1.0,1.0,0.9758683729433273
2024-01-30,1.0,1.0,0.9708409506398539
2024-01-31,1.0,1.0,0.9644424131627057
2024-02-01,0.9975197089700001,0.9973275421700001,0.9644424131627057
2024-02-02,0.9982690293045501,0.9988632521700002,0.9642595978062157
2024-02-05,0.9922796993045501,0.9940094521700001,0.9585923217550275
2024-02-06,0.99279723930455,0.99387692217,0.9728519195612433
2024-02-07,1.00145047930455,1.0032444021700002,0.973308957952468
2024-02-08,1.00620497930455,1.00707820217,0.9794332723948812
2024-02-19,1.0096130093045501,1.00910797217,0.9796160877513712
2024-02-20,1.01153164930455,1.01237697217,0.9850091407678245
2024-02-21,1.01100649930455,1.01173185217,0.9884826325411336
2024-02-22,0.99889425010455,0.99926527297,0.9890310786106034
2024-02-23,0.9988450601045501,0.99930350297,0.9917733089579525
2024-02-26,0.9990994301045499,0.9994053529700001,0.9898537477148082
2024-02-27,0.9987963201045501,0.9993905429700001,0.9943327239488118
2024-02-28,0.99756202072775,0.9991308835932001,0.9852833638025594
2024-02-29,0.9978296707277501,0.9991502235932,0.989762340036563
2024-03-01,0.9978330916750301,0.9990727345404801,0.993510054844607
2024-03-04,0.9976392916750301,0.9990705145404801,0.9916819012797076
2024-03-05,0.9975829416750299,0.9990894945404801,0.9876599634369287
2024-03-06,0.99825923261887,0.99972765548432,0.987202925045704
2024-03-07,0.99805167315672,0.99950335602217,0.9890310786106034
2024-03-08,0.99827066857672,0.9993503514421701,0.9888482632541133
2024-03-11,0.99813116890082,0.99934849176627,0.9913162705667277
2024-03-12,0.9973048589008199,0.99939173176627,0.9899451553930531
2024-03-13,0.9934741096521399,0.99930423251759,0.9907678244972579
2024-03-14,0.99378100965214,0.99930423251759,0.9906764168190128
2024-03-15,0.99390376965214,0.99930423251759,0.9934186471663621
2024-03-18,0.99390469965214,0.99930423251759,0.9963436928702012
2024-03-19,0.99330112965214,0.99930423251759,0.997166361974406
2024-03-20,0.9940088596521399,0.99930423251759,1.0012797074954298
2024-03-21,0.99466264965214,0.99930423251759,1.003473491773309
2024-03-22,0.99382099965214,0.99930423251759,0.9990859232175503
2024-03-25,0.99346480965214,0.99930423251759,0.996709323583181
2024-03-26,0.9933448396521399,0.99930423251759,0.9960694698354663
2024-03-27,0.99292540965214,0.99930423251759,0.9896709323583182
2024-03-28,0.99288820965214,0.99930423251759,0.9938756855575869
2024-03-29,0.99304072965214,0.99930423251759,0.9952468007312615
2024-04-01,0.99052693965214,0.99930423251759,0.9988117001828154
2024-04-02,0.98934490965214,0.99930423251759,1.0010054844606948
2024-04-03,0.98748490965214,0.99930423251759,1.0025594149908592
2024-04-08,0.98452750965214,0.99930423251759,0.9992687385740403
2024-04-09,0.98613640965214,0.99930423251759,1.003656307129799
2024-04-10,0.98653630965214,0.99930423251759,1.0014625228519196
2024-04-11,0.98800477965214,0.99930423251759,1.003656307129799
