stk_code,stk_name,pub_date,title,pdf_url,effective_date,prev_conv_price,new_conv_price
002382,蓝帆医疗,20260224,关于董事会提议向下修正蓝帆转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-02-25/1224983013.PDF,20260225,,17.79
002382,蓝帆医疗,20260316,关于向下修正蓝帆转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-03-17/1225012438.PDF,20260316,,8.5
002398,垒知集团,20250606,关于垒知转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-07/1223802865.PDF,20250607,,7.67
002398,垒知集团,20260602,关于垒知转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-03/1225347131.PDF,20260603,,7.59
002398,垒知集团,20260707,关于垒知转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-08/1225413984.PDF,20260708,,7.51
002430,杭氧股份,20250720,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-21/1224216323.PDF,20250721,,25.98
002430,杭氧股份,20251016,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-10-17/1224716111.PDF,20251017,,26.07
002430,杭氧股份,20260601,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-02/1225342415.PDF,20260602,,25.97
002436,兴森科技,20250520,关于兴森转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-21/1223608519.PDF,20250521,13.38,13.35
002452,长高电新,20260521,关于“长高转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-22/1225322433.PDF,20260522,11.01,11.01
002459,晶澳科技,20260610,关于董事会提议向下修正“晶澳转债”转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-11/1225363807.PDF,20260611,,11.66
002459,晶澳科技,20260626,关于向下修正“晶澳转债”转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-27/1225393032.PDF,20260627,,11.66
002475,立讯精密,20250701,关于“立讯转债“转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-02/1224058909.PDF,20250702,56.47,56.45
